"","Survived","Pclass","Sex","Age","Embarked","TamFamilia"
"98",1,"1","male",23,"C",2
"99",1,"2","female",34,"S",2
"100",0,"2","male",34,"S",2
"101",0,"3","female",28,"S",1
"102",0,"3","male",33,"S",1
"103",0,"1","male",21,"S",2
"104",0,"3","male",33,"S",1
"105",0,"3","male",37,"S",3
"106",0,"3","male",28,"S",1
"107",1,"3","female",21,"S",1
"108",1,"3","male",22,"S",1
"109",0,"3","male",38,"S",1
"110",1,"3","female",15,"Q",2
"111",0,"1","male",47,"S",1
"112",0,"3","female",14.5,"C",2
"113",0,"3","male",22,"S",1
"114",0,"3","female",20,"S",2
"115",0,"3","female",17,"C",1
"116",0,"3","male",21,"S",1
"117",0,"3","male",70.5,"Q",1
"118",0,"2","male",29,"S",2
"119",0,"1","male",24,"C",2
"120",0,"3","female",2,"S",7
"121",0,"2","male",21,"S",3
"122",0,"3","male",24,"S",1
"123",0,"2","male",32.5,"C",2
"124",1,"2","female",32.5,"S",1
"125",0,"1","male",54,"S",2
"126",1,"3","male",12,"C",2
"127",0,"3","male",51,"Q",1
"128",1,"3","male",24,"S",1
"129",1,"3","female",9,"C",3
"130",0,"3","male",45,"S",1
"131",0,"3","male",33,"C",1
"132",0,"3","male",20,"S",1
"133",0,"3","female",47,"S",2
"134",1,"2","female",29,"S",2
"135",0,"2","male",25,"S",1
"136",0,"2","male",23,"C",1
"137",1,"1","female",19,"S",3
"138",0,"1","male",37,"S",2
"139",0,"3","male",16,"S",1
"140",0,"1","male",24,"C",1
"141",0,"3","female",40.5,"C",3
"142",1,"3","female",22,"S",1
"143",1,"3","female",24,"S",2
"144",0,"3","male",19,"Q",1
"145",0,"2","male",18,"S",1
"146",0,"2","male",19,"S",3
"147",1,"3","male",27,"S",1
"148",0,"3","female",9,"S",5
"149",0,"2","male",36.5,"S",3
"150",0,"2","male",42,"S",1
"151",0,"2","male",51,"S",1
"152",1,"1","female",22,"S",2
"153",0,"3","male",55.5,"S",1
"154",0,"3","male",40.5,"S",3
"155",0,"3","male",22,"S",1
"156",0,"1","male",51,"C",2
"157",1,"3","female",16,"Q",1
"158",0,"3","male",30,"S",1
"159",0,"3","male",33,"S",1
"160",0,"3","male",11,"S",11
"161",0,"3","male",44,"S",2
"162",1,"2","female",40,"S",1
"163",0,"3","male",26,"S",1
"164",0,"3","male",17,"S",1
"165",0,"3","male",1,"S",6
"166",1,"3","male",9,"S",3
"167",1,"1","female",22,"S",2
"168",0,"3","female",45,"S",6
"169",0,"1","male",62,"S",1
"170",0,"3","male",28,"S",1
"171",0,"1","male",61,"S",1
"172",0,"3","male",4,"Q",6
"173",1,"3","female",1,"S",3
"174",0,"3","male",21,"S",1
"175",0,"1","male",56,"C",1
"176",0,"3","male",18,"S",3
"177",0,"3","male",3,"S",5
"178",0,"1","female",50,"C",1
"179",0,"2","male",30,"S",1
"180",0,"3","male",36,"S",1
"181",0,"3","female",11,"S",11
"182",0,"2","male",47,"C",1
"183",0,"3","male",9,"S",7
"184",1,"2","male",1,"S",4
"185",1,"3","female",4,"S",3
"186",0,"1","male",47,"S",1
"187",1,"3","female",15,"Q",2
"188",1,"1","male",45,"S",1
"189",0,"3","male",40,"Q",3
"190",0,"3","male",36,"S",1
"191",1,"2","female",32,"S",1
"192",0,"2","male",19,"S",1
"193",1,"3","female",19,"S",2
"194",1,"2","male",3,"S",3
"195",1,"1","female",44,"C",1
"196",1,"1","female",58,"C",1
"197",0,"3","male",51,"Q",1
"198",0,"3","male",42,"S",2
"199",1,"3","female",22,"Q",1
"200",0,"2","female",24,"S",1
"201",0,"3","male",28,"S",1
"202",0,"3","male",11,"S",11
"203",0,"3","male",34,"S",1
"204",0,"3","male",45.5,"C",1
"205",1,"3","male",18,"S",1
"206",0,"3","female",2,"S",2
"207",0,"3","male",32,"S",2
"208",1,"3","male",26,"C",1
"209",1,"3","female",16,"Q",1
"210",1,"1","male",40,"C",1
"211",0,"3","male",24,"S",1
"212",1,"2","female",35,"S",1
"213",0,"3","male",22,"S",1
"214",0,"2","male",30,"S",1
"215",0,"3","male",25,"Q",2
"216",1,"1","female",31,"C",2
"217",1,"3","female",27,"S",1
"218",0,"2","male",42,"S",2
"219",1,"1","female",32,"C",1
"220",0,"2","male",30,"S",1
"221",1,"3","male",16,"S",1
"222",0,"2","male",27,"S",1
"223",0,"3","male",51,"S",1
"224",0,"3","male",33,"S",1
"225",1,"1","male",38,"S",2
"226",0,"3","male",22,"S",1
"227",1,"2","male",19,"S",1
"228",0,"3","male",20.5,"S",1
"229",0,"2","male",18,"S",1
"230",0,"3","female",3,"S",5
"231",1,"1","female",35,"S",2
"232",0,"3","male",29,"S",1
"233",0,"2","male",59,"S",1
"234",1,"3","female",5,"S",7
"235",0,"2","male",24,"S",1
"236",0,"3","female",25,"S",1
"237",0,"2","male",44,"S",2
"238",1,"2","female",8,"S",3
"239",0,"2","male",19,"S",1
"240",0,"2","male",33,"S",1
"241",0,"3","female",27,"C",2
"242",1,"3","female",15,"Q",2
"243",0,"2","male",29,"S",1
"244",0,"3","male",22,"S",1
"245",0,"3","male",30,"C",1
"246",0,"1","male",44,"Q",3
"247",0,"3","female",25,"S",1
"248",1,"2","female",24,"S",3
"249",1,"1","male",37,"S",3
"250",0,"2","male",54,"S",2
"251",0,"3","male",22,"S",1
"252",0,"3","female",29,"S",3
"253",0,"1","male",62,"S",1
"254",0,"3","male",30,"S",2
"255",0,"3","female",41,"S",3
"256",1,"3","female",29,"C",3
"257",1,"1","female",27,"C",1
"258",1,"1","female",30,"S",1
"259",1,"1","female",35,"C",1
"260",1,"2","female",50,"S",2
"261",0,"3","male",51,"Q",1
"262",1,"3","male",3,"S",7
"263",0,"1","male",52,"S",3
"264",0,"1","male",40,"S",1
"265",0,"3","female",51,"Q",1
"266",0,"2","male",36,"S",1
"267",0,"3","male",16,"S",6
"268",1,"3","male",25,"S",2
"269",1,"1","female",58,"S",2
"270",1,"1","female",35,"S",1
"271",0,"1","male",56,"S",1
"272",1,"3","male",25,"S",1
"273",1,"2","female",41,"S",2
"274",0,"1","male",37,"C",2
"275",1,"3","female",22,"Q",1
"276",1,"1","female",63,"S",2
"277",0,"3","female",45,"S",1
"278",0,"2","male",30,"S",1
"279",0,"3","male",7,"Q",6
"280",1,"3","female",35,"S",3
"281",0,"3","male",65,"Q",1
"282",0,"3","male",28,"S",1
"283",0,"3","male",16,"S",1
"284",1,"3","male",19,"S",1
"285",0,"1","male",62,"S",1
"286",0,"3","male",33,"C",1
"287",1,"3","male",30,"S",1
"288",0,"3","male",22,"S",1
"289",1,"2","male",42,"S",1
"290",1,"3","female",22,"Q",1
"291",1,"1","female",26,"S",1
"292",1,"1","female",19,"C",2
"293",0,"2","male",36,"C",1
"294",0,"3","female",24,"S",1
"295",0,"3","male",24,"S",1
"296",0,"1","male",45.5,"C",1
"297",0,"3","male",23.5,"C",1
"298",0,"1","female",2,"S",4
"299",1,"1","male",40,"S",1
"300",1,"1","female",50,"C",2
"301",1,"3","female",22,"Q",1
"302",1,"3","male",24,"Q",3
"303",0,"3","male",19,"S",1
"304",1,"2","female",30,"Q",1
"305",0,"3","male",24,"S",1
"306",1,"1","male",0.92,"S",4
"307",1,"1","female",30,"C",1
"308",1,"1","female",17,"C",2
"309",0,"2","male",30,"C",2
"310",1,"1","female",30,"C",1
"311",1,"1","female",24,"C",1
"312",1,"1","female",18,"C",5
"313",0,"2","female",26,"S",3
"314",0,"3","male",28,"S",1
"315",0,"2","male",43,"S",3
"316",1,"3","female",26,"S",1
"317",1,"2","female",24,"S",2
"318",0,"2","male",54,"S",1
"319",1,"1","female",31,"S",3
"320",1,"1","female",40,"C",3
"321",0,"3","male",22,"S",1
"322",0,"3","male",27,"S",1
"323",1,"2","female",30,"Q",1
"324",1,"2","female",22,"S",3
"325",0,"3","male",11,"S",11
"326",1,"1","female",36,"C",1
"327",0,"3","male",61,"S",1
"328",1,"2","female",36,"S",1
"329",1,"3","female",31,"S",3
"330",1,"1","female",16,"C",2
"331",1,"3","female",24,"Q",3
"332",0,"1","male",45.5,"S",1
"333",0,"1","male",38,"S",2
"334",0,"3","male",16,"S",3
"335",1,"1","female",23,"S",2
"336",0,"3","male",33,"S",1
"337",0,"1","male",29,"S",2
"338",1,"1","female",41,"C",1
"339",1,"3","male",45,"S",1
"340",0,"1","male",45,"S",1
"341",1,"2","male",2,"S",3
"342",1,"1","female",24,"S",6
"343",0,"2","male",28,"S",1
"344",0,"2","male",25,"S",1
"345",0,"2","male",36,"S",1
"346",1,"2","female",24,"S",1
"347",1,"2","female",40,"S",1
"348",1,"3","female",15,"S",2
"349",1,"3","male",3,"S",3
"350",0,"3","male",42,"S",1
"351",0,"3","male",23,"S",1
"352",0,"1","male",61,"S",1
"353",0,"3","male",15,"C",3
"354",0,"3","male",25,"S",2
"355",0,"3","male",30,"C",1
"356",0,"3","male",28,"S",1
"357",1,"1","female",22,"S",2
"358",0,"2","female",38,"S",1
"359",1,"3","female",26,"Q",1
"360",1,"3","female",26,"Q",1
"361",0,"3","male",40,"S",6
"362",0,"2","male",29,"C",2
"363",0,"3","female",45,"C",2
"364",0,"3","male",35,"S",1
"365",0,"3","male",30,"Q",2
"366",0,"3","male",30,"S",1
"367",1,"1","female",60,"C",2
"368",1,"3","female",20,"C",1
"369",1,"3","female",22,"Q",1
"370",1,"1","female",24,"C",1
"371",1,"1","male",25,"C",2
"372",0,"3","male",18,"S",2
"373",0,"3","male",19,"S",1
"374",0,"1","male",22,"C",1
"375",0,"3","female",3,"S",5
"376",1,"1","female",52,"C",2
"377",1,"3","female",22,"S",1
"378",0,"1","male",27,"C",3
"379",0,"3","male",20,"C",1
"380",0,"3","male",19,"S",1
"381",1,"1","female",42,"C",1
"382",1,"3","female",1,"C",3
"383",0,"3","male",32,"S",1
"384",1,"1","female",35,"S",2
"385",0,"3","male",33,"S",1
"386",0,"2","male",18,"S",1
"387",0,"3","male",1,"S",8
"388",1,"2","female",36,"S",1
"389",0,"3","male",45,"Q",1
"390",1,"2","female",17,"C",1
"391",1,"1","male",36,"S",4
"392",1,"3","male",21,"S",1
"393",0,"3","male",28,"S",3
"394",1,"1","female",23,"C",2
"395",1,"3","female",24,"S",3
"396",0,"3","male",22,"S",1
"397",0,"3","female",31,"S",1
"398",0,"2","male",46,"S",1
"399",0,"2","male",23,"S",1
"400",1,"2","female",28,"S",1
"401",1,"3","male",39,"S",1
"402",0,"3","male",26,"S",1
"403",0,"3","female",21,"S",2
"404",0,"3","male",28,"S",2
"405",0,"3","female",20,"S",1
"406",0,"2","male",34,"S",2
"407",0,"3","male",51,"S",1
"408",1,"2","male",3,"S",3
"409",0,"3","male",21,"S",1
"410",0,"3","female",3,"S",5
"411",0,"3","male",33,"S",1
"412",0,"3","male",20,"Q",1
"413",1,"1","female",33,"Q",2
"414",0,"2","male",30,"S",1
"415",1,"3","male",44,"S",1
"416",0,"3","female",24,"S",1
"417",1,"2","female",34,"S",3
"418",1,"2","female",18,"S",3
"419",0,"2","male",30,"S",1
"420",0,"3","female",10,"S",3
"421",0,"3","male",33,"C",1
"422",0,"3","male",21,"Q",1
"423",0,"3","male",29,"S",1
"424",0,"3","female",28,"S",3
"425",0,"3","male",18,"S",3
"426",0,"3","male",22,"S",1
"427",1,"2","female",28,"S",2
"428",1,"2","female",19,"S",1
"429",0,"3","male",51,"Q",1
"430",1,"3","male",32,"S",1
"431",1,"1","male",28,"S",1
"432",1,"3","female",15,"S",2
"433",1,"2","female",42,"S",2
"434",0,"3","male",17,"S",1
"435",0,"1","male",50,"S",2
"436",1,"1","female",14,"S",4
"437",0,"3","female",21,"S",5
"438",1,"2","female",24,"S",6
"439",0,"1","male",64,"S",6
"440",0,"2","male",31,"S",1
"441",1,"2","female",45,"S",3
"442",0,"3","male",20,"S",1
"443",0,"3","male",25,"S",2
"444",1,"2","female",28,"S",1
"445",1,"3","male",19,"S",1
"446",1,"1","male",4,"S",3
"447",1,"2","female",13,"S",2
"448",1,"1","male",34,"S",1
"449",1,"3","female",5,"C",4
"450",1,"1","male",52,"S",1
"451",0,"2","male",36,"S",4
"452",0,"3","male",26,"S",2
"453",0,"1","male",30,"C",1
"454",1,"1","male",49,"C",2
"455",0,"3","male",24,"S",1
"456",1,"3","male",29,"C",1
"457",0,"1","male",65,"S",1
"458",1,"1","female",35,"S",2
"459",1,"2","female",50,"S",1
"460",0,"3","male",51,"Q",1
"461",1,"1","male",48,"S",1
"462",0,"3","male",34,"S",1
"463",0,"1","male",47,"S",1
"464",0,"2","male",48,"S",1
"465",0,"3","male",24,"S",1
"466",0,"3","male",38,"S",1
"467",0,"2","male",30,"S",1
"468",0,"1","male",56,"S",1
"469",0,"3","male",45,"Q",1
"470",1,"3","female",0.75,"C",4
"471",0,"3","male",22,"S",1
"472",0,"3","male",38,"S",1
"473",1,"2","female",33,"S",4
"474",1,"2","female",23,"C",1
"475",0,"3","female",22,"S",1
"476",0,"1","male",47,"S",1
"477",0,"2","male",34,"S",2
"478",0,"3","male",29,"S",2
"479",0,"3","male",22,"S",1
"480",1,"3","female",2,"S",2
"481",0,"3","male",9,"S",8
"482",0,"2","male",30,"S",1
"483",0,"3","male",50,"S",1
"484",1,"3","female",63,"S",1
"485",1,"1","male",25,"C",2
"486",0,"3","female",3,"S",5
"487",1,"1","female",35,"S",2
"488",0,"1","male",58,"C",1
"489",0,"3","male",30,"S",1
"490",1,"3","male",9,"S",3
"491",0,"3","male",26,"S",2
"492",0,"3","male",21,"S",1
"493",0,"1","male",55,"S",1
"494",0,"1","male",71,"C",1
"495",0,"3","male",21,"S",1
"496",0,"3","male",21,"C",1
"497",1,"1","female",54,"C",2
"498",0,"3","male",19,"S",1
"499",0,"1","female",25,"S",4
"500",0,"3","male",24,"S",1
"501",0,"3","male",17,"S",1
"502",0,"3","female",21,"Q",1
"503",0,"3","female",25,"Q",1
"504",0,"3","female",37,"S",1
"505",1,"1","female",16,"S",1
"506",0,"1","male",18,"C",2
"507",1,"2","female",33,"S",3
"508",1,"1","male",45,"S",1
"509",0,"3","male",28,"S",1
"510",1,"3","male",26,"S",1
"511",1,"3","male",29,"Q",1
"512",0,"3","male",24,"S",1
"513",1,"1","male",36,"S",1
"514",1,"1","female",54,"C",2
"515",0,"3","male",24,"S",1
"516",0,"1","male",47,"S",1
"517",1,"2","female",34,"S",1
"518",0,"3","male",28,"Q",1
"519",1,"2","female",36,"S",2
"520",0,"3","male",32,"S",1
"521",1,"1","female",30,"S",1
"522",0,"3","male",22,"S",1
"523",0,"3","male",30,"C",1
"524",1,"1","female",44,"C",2
"525",0,"3","male",28.5,"C",1
"526",0,"3","male",40.5,"Q",1
"527",1,"2","female",50,"S",1
"528",0,"1","male",24,"S",1
"529",0,"3","male",39,"S",1
"530",0,"2","male",23,"S",4
"531",1,"2","female",2,"S",3
"532",0,"3","male",28.5,"C",1
"533",0,"3","male",17,"C",3
"534",1,"3","female",9,"C",3
"535",0,"3","female",30,"S",1
"536",1,"2","female",7,"S",3
"537",0,"1","male",45,"S",1
"538",1,"1","female",30,"C",1
"539",0,"3","male",21,"S",1
"540",1,"1","female",22,"C",3
"541",1,"1","female",36,"S",3
"542",0,"3","female",9,"S",7
"543",0,"3","female",11,"S",7
"544",1,"2","male",32,"S",2
"545",0,"1","male",50,"C",2
"546",0,"1","male",64,"S",1
"547",1,"2","female",19,"S",2
"548",1,"2","male",32.5,"C",1
"549",0,"3","male",33,"S",3
"550",1,"2","male",8,"S",3
"551",1,"1","male",17,"C",3
"552",0,"2","male",27,"S",1
"553",0,"3","male",21,"Q",1
"554",1,"3","male",22,"C",1
"555",1,"3","female",22,"S",1
"556",0,"1","male",62,"S",1
"557",1,"1","female",48,"C",2
"558",0,"1","male",24,"C",1
"559",1,"1","female",39,"S",3
"560",1,"3","female",36,"S",2
"561",0,"3","male",51,"Q",1
"562",0,"3","male",40,"S",1
"563",0,"2","male",28,"S",1
"564",0,"3","male",24,"S",1
"565",0,"3","female",24,"S",1
"566",0,"3","male",24,"S",3
"567",0,"3","male",19,"S",1
"568",0,"3","female",29,"S",5
"569",0,"3","male",28.5,"C",1
"570",1,"3","male",32,"S",1
"571",1,"2","male",62,"S",1
"572",1,"1","female",53,"S",3
"573",1,"1","male",36,"S",1
"574",1,"3","female",22,"Q",1
"575",0,"3","male",16,"S",1
"576",0,"3","male",19,"S",1
"577",1,"2","female",34,"S",1
"578",1,"1","female",39,"S",2
"579",0,"3","female",27,"C",2
"580",1,"3","male",32,"S",1
"581",1,"2","female",25,"S",3
"582",1,"1","female",39,"C",3
"583",0,"2","male",54,"S",1
"584",0,"1","male",36,"C",1
"585",0,"3","male",33,"C",1
"586",1,"1","female",18,"S",3
"587",0,"2","male",47,"S",1
"588",1,"1","male",60,"C",3
"589",0,"3","male",22,"S",1
"590",0,"3","male",24,"S",1
"591",0,"3","male",35,"S",1
"592",1,"1","female",52,"C",2
"593",0,"3","male",47,"S",1
"594",0,"3","female",40.5,"Q",3
"595",0,"2","male",37,"S",2
"596",0,"3","male",36,"S",3
"597",1,"2","female",35,"S",1
"598",0,"3","male",49,"S",1
"599",0,"3","male",30,"C",1
"600",1,"1","male",49,"C",2
"601",1,"2","female",24,"S",4
"602",0,"3","male",33,"S",1
"603",0,"1","male",45,"S",1
"604",0,"3","male",44,"S",1
"605",1,"1","male",35,"C",1
"606",0,"3","male",36,"S",2
"607",0,"3","male",30,"S",1
"608",1,"1","male",27,"S",1
"609",1,"2","female",22,"C",4
"610",1,"1","female",40,"S",1
"611",0,"3","female",39,"S",7
"612",0,"3","male",25,"S",1
"613",1,"3","female",15,"Q",2
"614",0,"3","male",51,"Q",1
"615",0,"3","male",35,"S",1
"616",1,"2","female",24,"S",4
"617",0,"3","male",34,"S",3
"618",0,"3","female",26,"S",2
"619",1,"2","female",4,"S",4
"620",0,"2","male",26,"S",1
"621",0,"3","male",27,"C",2
"622",1,"1","male",42,"S",2
"623",1,"3","male",20,"C",3
"624",0,"3","male",21,"S",1
"625",0,"3","male",21,"S",1
"626",0,"1","male",61,"S",1
"627",0,"2","male",57,"Q",1
"628",1,"1","female",21,"S",1
"629",0,"3","male",26,"S",1
"630",0,"3","male",45,"Q",1
"631",1,"1","male",80,"S",1
"632",0,"3","male",51,"S",1
"633",1,"1","male",32,"C",1
"634",0,"1","male",39,"S",1
"635",0,"3","female",9,"S",6
"636",1,"2","female",28,"S",1
"637",0,"3","male",32,"S",1
"638",0,"2","male",31,"S",3
"639",0,"3","female",41,"S",6
"640",0,"3","male",28,"S",2
"641",0,"3","male",20,"S",1
"642",1,"1","female",24,"C",1
"643",0,"3","female",2,"S",6
"644",1,"3","male",30,"S",1
"645",1,"3","female",0.75,"C",4
"646",1,"1","male",48,"C",2
"647",0,"3","male",19,"S",1
"648",1,"1","male",56,"C",1
"649",0,"3","male",25,"S",1
"650",1,"3","female",23,"S",1
"651",0,"3","male",33,"S",1
"652",1,"2","female",18,"S",2
"653",0,"3","male",21,"S",1
"654",1,"3","female",26,"Q",1
"655",0,"3","female",18,"Q",1
"656",0,"2","male",24,"S",3
"657",0,"3","male",33,"S",1
"658",0,"3","female",32,"Q",3
"659",0,"2","male",23,"S",1
"660",0,"1","male",58,"C",3
"661",1,"1","male",50,"S",3
"662",0,"3","male",40,"C",1
"663",0,"1","male",47,"S",1
"664",0,"3","male",36,"S",1
"665",1,"3","male",20,"S",2
"666",0,"2","male",32,"S",3
"667",0,"2","male",25,"S",1
"668",0,"3","male",25,"S",1
"669",0,"3","male",43,"S",1
"670",1,"1","female",35,"S",2
"671",1,"2","female",40,"S",3
"672",0,"1","male",31,"S",2
"673",0,"2","male",70,"S",1
"674",1,"2","male",31,"S",1
"675",0,"2","male",30,"S",1
"676",0,"3","male",18,"S",1
"677",0,"3","male",24.5,"S",1
"678",1,"3","female",18,"S",1
"679",0,"3","female",43,"S",8
"680",1,"1","male",36,"C",2
"681",0,"3","female",21,"Q",1
"682",1,"1","male",27,"C",1
"683",0,"3","male",20,"S",1
"684",0,"3","male",14,"S",8
"685",0,"2","male",60,"S",3
"686",0,"2","male",25,"C",4
"687",0,"3","male",14,"S",6
"688",0,"3","male",19,"S",1
"689",0,"3","male",18,"S",1
"690",1,"1","female",15,"S",2
"691",1,"1","male",31,"S",2
"692",1,"3","female",4,"C",2
"693",1,"3","male",30,"S",1
"694",0,"3","male",25,"C",1
"695",0,"1","male",60,"S",1
"696",0,"2","male",52,"S",1
"697",0,"3","male",44,"S",1
"698",1,"3","female",22,"Q",1
"699",0,"1","male",49,"C",3
"700",0,"3","male",42,"S",1
"701",1,"1","female",18,"C",2
"702",1,"1","male",35,"S",1
"703",0,"3","female",18,"C",2
"704",0,"3","male",25,"Q",1
"705",0,"3","male",26,"S",2
"706",0,"2","male",39,"S",1
"707",1,"2","female",45,"S",1
"708",1,"1","male",42,"S",1
"709",1,"1","female",22,"S",1
"710",1,"3","male",4,"C",3
"711",1,"1","female",24,"C",1
"712",0,"1","male",62,"S",1
"713",1,"1","male",48,"S",2
"714",0,"3","male",29,"S",1
"715",0,"2","male",52,"S",1
"716",0,"3","male",19,"S",1
"717",1,"1","female",38,"C",1
"718",1,"2","female",27,"S",1
"719",0,"3","male",19,"Q",1
"720",0,"3","male",33,"S",1
"721",1,"2","female",6,"S",2
"722",0,"3","male",17,"S",2
"723",0,"2","male",34,"S",1
"724",0,"2","male",50,"S",1
"725",1,"1","male",27,"S",2
"726",0,"3","male",20,"S",1
"727",1,"2","female",30,"S",4
"728",1,"3","female",22,"Q",1
"729",0,"2","male",25,"S",2
"730",0,"3","female",25,"S",2
"731",1,"1","female",29,"S",1
"732",0,"3","male",11,"C",1
"733",0,"2","male",30,"S",1
"734",0,"2","male",23,"S",1
"735",0,"2","male",23,"S",1
"736",0,"3","male",28.5,"S",1
"737",0,"3","female",48,"S",5
"738",1,"1","male",35,"C",1
"739",0,"3","male",33,"S",1
"740",0,"3","male",33,"S",1
"741",1,"1","male",27,"S",1
"742",0,"1","male",36,"S",2
"743",1,"1","female",21,"C",5
"744",0,"3","male",24,"S",2
"745",1,"3","male",31,"S",1
"746",0,"1","male",70,"S",3
"747",0,"3","male",16,"S",3
"748",1,"2","female",30,"S",1
"749",0,"1","male",19,"S",2
"750",0,"3","male",31,"Q",1
"751",1,"2","female",4,"S",3
"752",1,"3","male",6,"S",2
"753",0,"3","male",33,"S",1
"754",0,"3","male",23,"S",1
"755",1,"2","female",48,"S",4
"756",1,"2","male",0.67,"S",3
"757",0,"3","male",28,"S",1
"758",0,"2","male",18,"S",1
"759",0,"3","male",34,"S",1
"760",1,"1","female",33,"S",1
"761",0,"3","male",21,"S",1
"762",0,"3","male",41,"S",1
"763",1,"3","male",20,"C",1
"764",1,"1","female",36,"S",4
"765",0,"3","male",16,"S",1
"766",1,"1","female",51,"S",2
"767",0,"1","male",47,"C",1
"768",0,"3","female",30.5,"Q",1
"769",0,"3","male",26,"Q",2
"770",0,"3","male",32,"S",1
"771",0,"3","male",24,"S",1
"772",0,"3","male",48,"S",1
"773",0,"2","female",57,"S",1
"774",0,"3","male",30,"C",1
"775",1,"2","female",54,"S",5
"776",0,"3","male",18,"S",1
"777",0,"3","male",51,"Q",1
"778",1,"3","female",5,"S",1
"779",0,"3","male",45,"Q",1
"780",1,"1","female",43,"S",2
"781",1,"3","female",13,"C",1
"782",1,"1","female",17,"S",2
"783",0,"1","male",29,"S",1
"784",0,"3","male",26,"S",4
"785",0,"3","male",25,"S",1
"786",0,"3","male",25,"S",1
"787",1,"3","female",18,"S",1
"788",0,"3","male",8,"Q",6
"789",1,"3","male",1,"S",4
"790",0,"1","male",46,"C",1
"791",0,"3","male",51,"Q",1
"792",0,"2","male",16,"S",1
"793",0,"3","female",11,"S",11
"794",0,"1","male",56,"C",1
"795",0,"3","male",25,"S",1
"796",0,"2","male",39,"S",1
"797",1,"1","female",49,"S",1
"798",1,"3","female",31,"S",1
"799",0,"3","male",30,"C",1
"800",0,"3","female",30,"S",3
"801",0,"2","male",34,"S",1
"802",1,"2","female",31,"S",3
"803",1,"1","male",11,"S",4
"804",1,"3","male",0.42,"C",2
"805",1,"3","male",27,"S",1
"806",0,"3","male",31,"S",1
"807",0,"1","male",39,"S",1
"808",0,"3","female",18,"S",1
"809",0,"2","male",39,"S",1
"810",1,"1","female",33,"S",2
"811",0,"3","male",26,"S",1
"812",0,"3","male",39,"S",1
